#REFERENCE 3 133.6935800 -1.3603200
   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME    PARITY
    a2   -22.025   -20.352    29.988     1.000   163.505     1.675      0.56  -13194.1       0.0    ++
    a2    16.402    15.227    22.381     1.000   162.281     1.896      0.69   -5658.9    7535.2    ++
    a2     0.131     0.925     0.934     0.903     2.104    65.700      4.54     173.8   13367.9    --
