#REFERENCE 3 133.6935800 -1.3603200
a2 -0.985 -0.979 0.310 0.269 44.33 1.000 0.09 0.131 0.925 0.06 0.03
a2 -0.985 -0.979 0.310 0.269 44.33 1.000 0.09 -1.916 5.162 0.72 -0.63
a2 -0.985 -0.979 0.310 0.269 44.33 1.000 0.09 9.222 5.123 1.22 -1.14
a2 -0.985 -0.979 0.310 0.269 44.33 1.000 0.09 4.544 -4.957 0.66 -0.57
a2 -0.985 -0.979 0.310 0.269 44.33 1.000 0.09 -11.387 -8.098 0.83 -0.75
