#REFERENCE 3 133.6935800 -1.3603200
   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME    PARITY
    a2     0.131     0.925     0.934     0.903     2.102     1.053      0.06     120.3       0.0    --
    a2    -1.916     5.162     5.506     0.749     1.130     1.936      0.72     -18.0    -138.3    +-
    a2     9.222     5.123    10.549     0.438     0.487     3.085      1.22   -1605.6   -1725.9    ++
    a2     4.544    -4.957     6.724     0.348     0.371     1.837      0.66    -338.9    -459.2    +-
    a2   -11.387    -8.098    13.972     0.292     0.306     2.158      0.83   -4339.7   -4460.0    ++
