#REFERENCE 3 133.6935800 -1.3603200
   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME    PARITY
    a2     0.131     0.925     0.934     0.903     2.102     0.975     -0.03     115.4       0.0    --
    a2    -1.955     5.638     5.967     0.712     1.013     2.123      0.82     -63.2    -178.6    +-
    a2     9.146     4.090    10.019     0.646     0.846     3.578      1.38   -1465.4   -1580.7    ++
    a2   -10.963    -7.232    13.134     0.538     0.639     2.393      0.95   -3923.0   -4038.3    ++
    a2     4.898    -5.553     7.405     0.310     0.327     2.137      0.82    -467.1    -582.4    +-
