#REFERENCE 3 133.6935800 -1.3603200
   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME    PARITY
    a2     0.131     0.925     0.934     0.903     2.102     1.693      0.57     142.1       0.0    --
    a2    -1.341     3.410     3.665     0.818     1.423     1.823      0.65     109.7     -32.4    +-
    a2   -14.256   -11.978    18.620     0.801     1.339     1.688      0.57   -6749.1   -6891.1    ++
    a2    10.850     8.702    13.909     0.790     1.288     2.116      0.81   -2605.5   -2747.6    ++
    a2     3.154    -3.014     4.362     0.330     0.350     1.354      0.33       0.5    -141.5    +-
